Gender,Name,Time,Distance
M,l103,2166.0,10000
M,l104,2174.0,10000
M,l105,2177.0,10000
M,l106,2241.0,10000
M,l107,2272.0,10000
M,l108,2297.0,10000
M,l109,2298.0,10000
M,l1010,2308.0,10000
M,l1011,2318.0,10000
M,l1012,2334.0,10000
M,l1013,2342.0,10000
M,l1014,2346.0,10000
M,l1015,2350.0,10000
M,l1016,2356.0,10000
M,l1017,2360.0,10000
M,l1018,2364.0,10000
M,l1019,2369.0,10000
M,l1020,2399.0,10000
M,l1021,2401.0,10000
M,l1022,2428.0,10000
M,l1023,2430.0,10000
M,l1024,2434.0,10000
M,l1025,2438.0,10000
M,l1026,2460.0,10000
M,l1027,2463.0,10000
M,l1028,2493.0,10000
M,l1029,2503.0,10000
M,l1030,2503.0,10000
M,l1031,2524.0,10000
M,l1032,2530.0,10000
M,l1033,2547.0,10000
M,l1034,2548.0,10000
M,l1035,2557.0,10000
M,l1036,2557.0,10000
M,l1037,2560.0,10000
M,l1038,2561.0,10000
M,l1039,2566.0,10000
M,l1040,2569.0,10000
M,l1041,2574.0,10000
M,l1042,2581.0,10000
M,l1043,2584.0,10000
M,l1044,2584.0,10000
M,l1045,2585.0,10000
M,l1046,2603.0,10000
M,l1047,2603.0,10000
M,l1048,2627.0,10000
M,l1049,2631.0,10000
M,l1050,2632.0,10000
M,l1051,2635.0,10000
M,l1052,2645.0,10000
M,l1053,2647.0,10000
M,l1054,2648.0,10000
M,l1055,2653.0,10000
M,l1056,2653.0,10000
M,l1058,2657.0,10000
M,l1059,2680.0,10000
M,l1061,2682.0,10000
M,l1062,2682.0,10000
M,l1063,2683.0,10000
M,l1064,2686.0,10000
M,l1066,2701.0,10000
M,l1069,2717.0,10000
M,l1070,2727.0,10000
M,l1071,2733.0,10000
M,l1072,2740.0,10000
M,l1074,2745.0,10000
M,l1075,2746.0,10000
M,l1076,2746.0,10000
M,l1077,2747.0,10000
M,l1078,2766.0,10000
M,l1079,2771.0,10000
M,l1080,2775.0,10000
M,l1081,2785.0,10000
M,l1082,2795.0,10000
M,l1083,2798.0,10000
M,l1084,2798.0,10000
M,l1085,2810.0,10000
M,l1086,2811.0,10000
M,l1087,2815.0,10000
M,l1088,2826.0,10000
M,l1089,2826.0,10000
M,l1090,2830.0,10000
M,l1091,2843.0,10000
M,l1092,2851.0,10000
M,l1093,2859.0,10000
M,l1094,2868.0,10000
M,l1095,2874.0,10000
M,l1096,2881.0,10000
M,l1097,2895.0,10000
M,l1098,2901.0,10000
M,l1099,2905.0,10000
M,l10101,2908.0,10000
M,l10103,2909.0,10000
M,l10104,2911.0,10000
M,l10105,2912.0,10000
M,l10106,2912.0,10000
M,l10108,2920.0,10000
M,l10109,2925.0,10000
M,l10111,2931.0,10000
M,l10112,2935.0,10000
M,l10113,2939.0,10000
M,l10114,2945.0,10000
M,l10115,2945.0,10000
M,l10116,2947.0,10000
M,l10117,2947.0,10000
M,l10118,2952.0,10000
M,l10119,2959.0,10000
M,l10120,2962.0,10000
M,l10121,2966.0,10000
M,l10122,2975.0,10000
M,l10123,2977.0,10000
M,l10124,2978.0,10000
M,l10125,2983.0,10000
M,l10126,2987.0,10000
M,l10127,2988.0,10000
M,l10129,2994.0,10000
M,l10130,2996.0,10000
M,l10131,2999.0,10000
M,l10132,3001.0,10000
M,l10133,3001.0,10000
M,l10134,3002.0,10000
M,l10135,3008.0,10000
M,l10136,3016.0,10000
M,l10137,3021.0,10000
M,l10138,3026.0,10000
M,l10139,3030.0,10000
M,l10140,3030.0,10000
M,l10141,3032.0,10000
M,l10142,3047.0,10000
M,l10143,3049.0,10000
M,l10144,3049.0,10000
M,l10145,3052.0,10000
M,l10148,3070.0,10000
M,l10149,3071.0,10000
M,l10151,3078.0,10000
M,l10153,3087.0,10000
M,l10154,3088.0,10000
M,l10156,3095.0,10000
M,l10157,3096.0,10000
M,l10160,3112.0,10000
M,l10161,3112.0,10000
M,l10162,3113.0,10000
M,l10163,3119.0,10000
M,l10164,3125.0,10000
M,l10166,3128.0,10000
M,l10167,3129.0,10000
M,l10168,3129.0,10000
M,l10170,3137.0,10000
M,l10171,3139.0,10000
M,l10172,3141.0,10000
M,l10173,3145.0,10000
M,l10174,3149.0,10000
M,l10175,3152.0,10000
M,l10176,3152.0,10000
M,l10177,3159.0,10000
M,l10179,3175.0,10000
M,l10180,3183.0,10000
M,l10181,3188.0,10000
M,l10183,3191.0,10000
M,l10184,3191.0,10000
M,l10185,3200.0,10000
M,l10187,3201.0,10000
M,l10188,3202.0,10000
M,l10189,3210.0,10000
M,l10191,3215.0,10000
M,l10192,3215.0,10000
M,l10194,3229.0,10000
M,l10195,3229.0,10000
M,l10196,3238.0,10000
M,l10199,3253.0,10000
M,l10200,3263.0,10000
M,l10201,3263.0,10000
M,l10202,3264.0,10000
M,l10203,3278.0,10000
M,l10204,3280.0,10000
M,l10205,3282.0,10000
M,l10207,3284.0,10000
M,l10208,3307.0,10000
M,l10209,3308.0,10000
M,l10210,3311.0,10000
M,l10214,3324.0,10000
M,l10216,3330.0,10000
M,l10217,3330.0,10000
M,l10219,3333.0,10000
M,l10221,3334.0,10000
M,l10222,3338.0,10000
M,l10223,3338.0,10000
M,l10226,3359.0,10000
M,l10227,3364.0,10000
M,l10228,3369.0,10000
M,l10229,3371.0,10000
M,l10231,3374.0,10000
M,l10233,3379.0,10000
M,l10236,3386.0,10000
M,l10237,3387.0,10000
M,l10238,3392.0,10000
M,l10239,3392.0,10000
M,l10240,3392.0,10000
M,l10241,3394.0,10000
M,l10243,3398.0,10000
M,l10244,3398.0,10000
M,l10245,3398.0,10000
M,l10247,3415.0,10000
M,l10248,3428.0,10000
M,l10249,3429.0,10000
M,l10250,3432.0,10000
M,l10254,3448.0,10000
M,l10255,3462.0,10000
M,l10258,3470.0,10000
M,l10259,3479.0,10000
M,l10260,3481.0,10000
M,l10261,3483.0,10000
M,l10262,3484.0,10000
M,l10264,3486.0,10000
M,l10265,3498.0,10000
M,l10266,3500.0,10000
M,l10267,3504.0,10000
M,l10268,3507.0,10000
M,l10271,3528.0,10000
M,l10272,3528.0,10000
M,l10273,3559.0,10000
M,l10274,3564.0,10000
M,l10277,3587.0,10000
M,l10278,3596.0,10000
M,l10280,3597.0,10000
M,l10281,3627.0,10000
M,l10284,3644.0,10000
M,l10285,3651.0,10000
M,l10287,3677.0,10000
M,l10288,3678.0,10000
M,l10289,3679.0,10000
M,l10290,3679.0,10000
M,l10291,3687.0,10000
M,l10294,3718.0,10000
M,l10296,3735.0,10000
M,l10301,3763.0,10000
M,l10302,3766.0,10000
M,l10304,3779.0,10000
M,l10307,3793.0,10000
M,l10310,3834.0,10000
M,l10312,3876.0,10000
M,l10313,3899.0,10000
M,l10314,3923.0,10000
M,l10315,3925.0,10000
M,l10316,3936.0,10000
M,l10319,3940.0,10000
M,l10322,3968.0,10000
M,l10323,3973.0,10000
M,l10324,3974.0,10000
M,l10325,3974.0,10000
M,l10327,3987.0,10000
M,l10328,3988.0,10000
M,l10333,4014.0,10000
M,l10335,4020.0,10000
M,l10336,4021.0,10000
M,l10340,4042.0,10000
M,l10341,4056.0,10000
M,l10342,4058.0,10000
M,l10344,4067.0,10000
M,l10345,4070.0,10000
M,l10348,4129.0,10000
M,l10349,4139.0,10000
M,l10355,4395.0,10000
M,l10358,4469.0,10000
M,l10359,4501.0,10000
M,l10360,4658.0,10000
M,l10362,4949.0,10000
M,l10363,4983.0,10000
F,l1057,2654.0,10000
F,l1060,2681.0,10000
F,l1065,2691.0,10000
F,l1067,2714.0,10000
F,l1068,2714.0,10000
F,l1073,2740.0,10000
F,l10100,2907.0,10000
F,l10102,2909.0,10000
F,l10107,2918.0,10000
F,l10110,2926.0,10000
F,l10128,2990.0,10000
F,l10146,3056.0,10000
F,l10147,3065.0,10000
F,l10150,3078.0,10000
F,l10152,3080.0,10000
F,l10155,3088.0,10000
F,l10158,3105.0,10000
F,l10159,3107.0,10000
F,l10165,3126.0,10000
F,l10169,3131.0,10000
F,l10178,3161.0,10000
F,l10182,3188.0,10000
F,l10186,3200.0,10000
F,l10190,3215.0,10000
F,l10193,3216.0,10000
F,l10197,3246.0,10000
F,l10198,3247.0,10000
F,l10206,3284.0,10000
F,l10211,3312.0,10000
F,l10212,3315.0,10000
F,l10213,3317.0,10000
F,l10215,3325.0,10000
F,l10218,3332.0,10000
F,l10220,3334.0,10000
F,l10224,3350.0,10000
F,l10225,3351.0,10000
F,l10230,3372.0,10000
F,l10232,3376.0,10000
F,l10234,3380.0,10000
F,l10235,3386.0,10000
F,l10242,3394.0,10000
F,l10246,3399.0,10000
F,l10251,3437.0,10000
F,l10252,3442.0,10000
F,l10253,3448.0,10000
F,l10256,3462.0,10000
F,l10257,3464.0,10000
F,l10263,3485.0,10000
F,l10269,3514.0,10000
F,l10270,3516.0,10000
F,l10275,3582.0,10000
F,l10276,3587.0,10000
F,l10279,3597.0,10000
F,l10282,3631.0,10000
F,l10283,3644.0,10000
F,l10286,3654.0,10000
F,l10292,3689.0,10000
F,l10293,3690.0,10000
F,l10295,3733.0,10000
F,l10297,3740.0,10000
F,l10298,3741.0,10000
F,l10299,3744.0,10000
F,l10300,3753.0,10000
F,l10303,3777.0,10000
F,l10305,3781.0,10000
F,l10306,3791.0,10000
F,l10308,3807.0,10000
F,l10309,3821.0,10000
F,l10311,3836.0,10000
F,l10317,3938.0,10000
F,l10318,3938.0,10000
F,l10320,3947.0,10000
F,l10321,3955.0,10000
F,l10326,3985.0,10000
F,l10329,3992.0,10000
F,l10330,3995.0,10000
F,l10331,4000.0,10000
F,l10332,4010.0,10000
F,l10334,4020.0,10000
F,l10337,4028.0,10000
F,l10338,4032.0,10000
F,l10339,4034.0,10000
F,l10343,4060.0,10000
F,l10346,4077.0,10000
F,l10347,4079.0,10000
F,l10350,4220.0,10000
F,l10351,4253.0,10000
F,l10352,4253.0,10000
F,l10353,4342.0,10000
F,l10354,4360.0,10000
F,l10356,4414.0,10000
F,l10357,4424.0,10000
F,l10361,4667.0,10000
F,l10364,5414.0,10000
F,l10365,5660.0,10000
M,l210,4477.0,21000
M,l211,4627.0,21000
M,l212,4676.0,21000
M,l213,4747.0,21000
M,l214,4796.0,21000
M,l215,4808.0,21000
M,l216,4885.0,21000
M,l217,4948.0,21000
M,l218,4966.0,21000
M,l219,5066.0,21000
M,l2110,5084.0,21000
M,l2111,5139.0,21000
M,l2112,5187.0,21000
M,l2113,5200.0,21000
M,l2114,5232.0,21000
M,l2115,5285.0,21000
M,l2116,5312.0,21000
M,l2117,5331.0,21000
M,l2118,5341.0,21000
M,l2119,5377.0,21000
M,l2120,5379.0,21000
M,l2121,5397.0,21000
M,l2122,5404.0,21000
M,l2123,5419.0,21000
M,l2124,5432.0,21000
M,l2125,5439.0,21000
M,l2127,5476.0,21000
M,l2128,5482.0,21000
M,l2129,5484.0,21000
M,l2130,5492.0,21000
M,l2131,5496.0,21000
M,l2132,5517.0,21000
M,l2133,5527.0,21000
M,l2134,5529.0,21000
M,l2135,5541.0,21000
M,l2136,5563.0,21000
M,l2137,5567.0,21000
M,l2138,5587.0,21000
M,l2139,5614.0,21000
M,l2140,5615.0,21000
M,l2141,5616.0,21000
M,l2142,5632.0,21000
M,l2143,5642.0,21000
M,l2144,5647.0,21000
M,l2145,5686.0,21000
M,l2146,5703.0,21000
M,l2147,5704.0,21000
M,l2148,5711.0,21000
M,l2149,5712.0,21000
M,l2150,5748.0,21000
M,l2151,5753.0,21000
M,l2152,5760.0,21000
M,l2154,5777.0,21000
M,l2156,5812.0,21000
M,l2159,5846.0,21000
M,l2160,5879.0,21000
M,l2162,5907.0,21000
M,l2164,5940.0,21000
M,l2165,5970.0,21000
M,l2166,5971.0,21000
M,l2167,5975.0,21000
M,l2169,5984.0,21000
M,l2170,5988.0,21000
M,l2172,6049.0,21000
M,l2173,6060.0,21000
M,l2174,6061.0,21000
M,l2175,6073.0,21000
M,l2176,6078.0,21000
M,l2177,6080.0,21000
M,l2181,6129.0,21000
M,l2182,6186.0,21000
M,l2184,6204.0,21000
M,l2186,6233.0,21000
M,l2187,6240.0,21000
M,l2188,6242.0,21000
M,l2191,6268.0,21000
M,l2192,6276.0,21000
M,l2193,6277.0,21000
M,l2194,6296.0,21000
M,l2195,6298.0,21000
M,l2196,6307.0,21000
M,l2197,6309.0,21000
M,l2198,6313.0,21000
M,l2199,6317.0,21000
M,l21103,6333.0,21000
M,l21105,6338.0,21000
M,l21106,6349.0,21000
M,l21107,6354.0,21000
M,l21108,6360.0,21000
M,l21109,6392.0,21000
M,l21110,6433.0,21000
M,l21112,6462.0,21000
M,l21113,6475.0,21000
M,l21114,6483.0,21000
M,l21116,6497.0,21000
M,l21117,6514.0,21000
M,l21119,6547.0,21000
M,l21120,6569.0,21000
M,l21121,6587.0,21000
M,l21122,6588.0,21000
M,l21123,6591.0,21000
M,l21124,6592.0,21000
M,l21126,6612.0,21000
M,l21127,6618.0,21000
M,l21128,6619.0,21000
M,l21129,6622.0,21000
M,l21131,6627.0,21000
M,l21133,6642.0,21000
M,l21134,6649.0,21000
M,l21136,6654.0,21000
M,l21137,6656.0,21000
M,l21138,6676.0,21000
M,l21139,6678.0,21000
M,l21140,6684.0,21000
M,l21142,6722.0,21000
M,l21143,6727.0,21000
M,l21144,6730.0,21000
M,l21145,6730.0,21000
M,l21147,6759.0,21000
M,l21148,6790.0,21000
M,l21149,6801.0,21000
M,l21150,6802.0,21000
M,l21151,6812.0,21000
M,l21152,6812.0,21000
M,l21153,6816.0,21000
M,l21154,6822.0,21000
M,l21156,6844.0,21000
M,l21157,6855.0,21000
M,l21158,6856.0,21000
M,l21163,6902.0,21000
M,l21164,6907.0,21000
M,l21165,6922.0,21000
M,l21168,6948.0,21000
M,l21170,6950.0,21000
M,l21173,6960.0,21000
M,l21174,6960.0,21000
M,l21178,6972.0,21000
M,l21182,7007.0,21000
M,l21185,7040.0,21000
M,l21186,7043.0,21000
M,l21187,7043.0,21000
M,l21188,7061.0,21000
M,l21190,7066.0,21000
M,l21194,7111.0,21000
M,l21195,7112.0,21000
M,l21198,7146.0,21000
M,l21199,7152.0,21000
M,l21200,7163.0,21000
M,l21203,7215.0,21000
M,l21205,7222.0,21000
M,l21207,7237.0,21000
M,l21211,7279.0,21000
M,l21213,7286.0,21000
M,l21215,7296.0,21000
M,l21216,7305.0,21000
M,l21217,7309.0,21000
M,l21221,7358.0,21000
M,l21222,7372.0,21000
M,l21223,7372.0,21000
M,l21230,7482.0,21000
M,l21233,7501.0,21000
M,l21234,7502.0,21000
M,l21236,7505.0,21000
M,l21237,7520.0,21000
M,l21241,7552.0,21000
M,l21245,7588.0,21000
M,l21246,7592.0,21000
M,l21248,7601.0,21000
M,l21251,7632.0,21000
M,l21252,7664.0,21000
M,l21257,7700.0,21000
M,l21258,7750.0,21000
M,l21263,7786.0,21000
M,l21267,7797.0,21000
M,l21272,7844.0,21000
M,l21274,7879.0,21000
M,l21277,7932.0,21000
M,l21278,7934.0,21000
M,l21284,8011.0,21000
M,l21286,8028.0,21000
M,l21292,8077.0,21000
M,l21295,8117.0,21000
M,l21298,8137.0,21000
M,l21301,8171.0,21000
M,l21304,8198.0,21000
M,l21306,8241.0,21000
M,l21311,8289.0,21000
M,l21313,8293.0,21000
M,l21316,8302.0,21000
M,l21321,8343.0,21000
M,l21322,8344.0,21000
M,l21324,8395.0,21000
M,l21325,8396.0,21000
M,l21331,8705.0,21000
M,l21332,8726.0,21000
M,l21333,8728.0,21000
M,l21334,8744.0,21000
M,l21337,8823.0,21000
M,l21346,9107.0,21000
M,l21348,9157.0,21000
M,l21351,9216.0,21000
M,l21352,9239.0,21000
M,l21353,9242.0,21000
M,l21360,9561.0,21000
M,l21362,9588.0,21000
M,l21368,12149.0,21000
M,l21375,7847.0,21000
F,l2153,5764.0,21000
F,l2155,5808.0,21000
F,l2157,5817.0,21000
F,l2158,5820.0,21000
F,l2161,5902.0,21000
F,l2163,5937.0,21000
F,l2168,5981.0,21000
F,l2171,6027.0,21000
F,l2178,6086.0,21000
F,l2179,6093.0,21000
F,l2180,6114.0,21000
F,l2183,6190.0,21000
F,l2185,6205.0,21000
F,l2189,6248.0,21000
F,l2190,6253.0,21000
F,l21100,6319.0,21000
F,l21101,6325.0,21000
F,l21102,6332.0,21000
F,l21104,6338.0,21000
F,l21111,6442.0,21000
F,l21115,6491.0,21000
F,l21118,6529.0,21000
F,l21125,6592.0,21000
F,l21130,6623.0,21000
F,l21132,6629.0,21000
F,l21135,6652.0,21000
F,l21141,6687.0,21000
F,l21146,6732.0,21000
F,l21155,6838.0,21000
F,l21159,6859.0,21000
F,l21160,6860.0,21000
F,l21161,6863.0,21000
F,l21162,6891.0,21000
F,l21166,6924.0,21000
F,l21167,6924.0,21000
F,l21169,6950.0,21000
F,l21171,6952.0,21000
F,l21172,6957.0,21000
F,l21175,6961.0,21000
F,l21176,6962.0,21000
F,l21177,6972.0,21000
F,l21179,6980.0,21000
F,l21180,6987.0,21000
F,l21181,7001.0,21000
F,l21183,7022.0,21000
F,l21184,7038.0,21000
F,l21189,7063.0,21000
F,l21191,7075.0,21000
F,l21192,7107.0,21000
F,l21193,7111.0,21000
F,l21196,7126.0,21000
F,l21197,7143.0,21000
F,l21201,7179.0,21000
F,l21202,7194.0,21000
F,l21204,7219.0,21000
F,l21206,7226.0,21000
F,l21208,7253.0,21000
F,l21209,7269.0,21000
F,l21210,7276.0,21000
F,l21212,7279.0,21000
F,l21214,7291.0,21000
F,l21218,7324.0,21000
F,l21219,7324.0,21000
F,l21220,7330.0,21000
F,l21224,7386.0,21000
F,l21225,7422.0,21000
F,l21226,7422.0,21000
F,l21227,7423.0,21000
F,l21228,7439.0,21000
F,l21229,7456.0,21000
F,l21231,7488.0,21000
F,l21232,7496.0,21000
F,l21235,7504.0,21000
F,l21238,7521.0,21000
F,l21239,7544.0,21000
F,l21240,7550.0,21000
F,l21242,7563.0,21000
F,l21243,7570.0,21000
F,l21244,7575.0,21000
F,l21247,7597.0,21000
F,l21249,7623.0,21000
F,l21250,7623.0,21000
F,l21253,7669.0,21000
F,l21254,7674.0,21000
F,l21255,7689.0,21000
F,l21256,7699.0,21000
F,l21259,7751.0,21000
F,l21260,7760.0,21000
F,l21261,7773.0,21000
F,l21262,7776.0,21000
F,l21264,7787.0,21000
F,l21265,7789.0,21000
F,l21266,7793.0,21000
F,l21268,7813.0,21000
F,l21269,7823.0,21000
F,l21270,7828.0,21000
F,l21271,7842.0,21000
F,l21273,7867.0,21000
F,l21275,7886.0,21000
F,l21276,7929.0,21000
F,l21279,7954.0,21000
F,l21280,7955.0,21000
F,l21281,7960.0,21000
F,l21282,7975.0,21000
F,l21283,7976.0,21000
F,l21285,8011.0,21000
F,l21287,8029.0,21000
F,l21288,8032.0,21000
F,l21289,8040.0,21000
F,l21290,8052.0,21000
F,l21291,8065.0,21000
F,l21293,8089.0,21000
F,l21294,8116.0,21000
